Count,X,Y,Z,Training count,Output
2653,-5.07,-5.82,2.34,,1
2652,-4.62,-2.43,-2.39,,1
2651,-4.01,-1.22,-7.18,,1
2650,-2.7,0.07,-11.44,,1
2649,-1.24,1.74,-14.66,,1
2648,0.25,0.08,-15.96,,1
2647,0.48,2.92,-15.6,,1
2646,0.29,4.32,-14.54,,1
2645,0.33,3.43,-14.33,,1
2644,0.26,3.36,-14.36,,1
2592,-3.27,-9.11,3.54,30,1
2591,-2.74,-7.67,3.52,,1
2590,-2.13,-7.55,3.51,,1
2589,-2.12,-4.24,3.35,,1
2588,-3.36,-1.53,3.57,,1
2587,-3.81,-2.08,3.26,,1
2586,-3.85,-3.22,1.16,,1
2585,-3.62,-2.11,-2.72,,1
2584,-3.1,-1.41,-7.17,,1
2583,-1.95,-0.52,-11.83,,1
2582,-1,0.31,-15.57,,1
2581,0.22,1.47,-17,,1
2580,0.36,5.91,-16.1,,1
2579,0.19,3.8,-14.91,,1
2578,0.36,3.1,-14.77,,1
2577,0.27,3.25,-14.76,,1
2494,0.16,4.37,-14.12,29,1
2493,0.59,3.87,-14.24,,1
2492,0.78,4.27,-14.27,,1
2491,0.2,4.41,-14.06,,1
2490,0.29,4.1,-14.15,,1
2489,1.85,-2.98,-14.27,,1
2488,3.81,6.9,-14.9,,1
2487,2.23,4.06,-14.87,,1
2486,-0.02,3.1,-15.45,,1
2485,0.33,-1.06,-14.66,,1
2484,-0.05,-3.1,-12.93,,1
2483,-2.03,-5.52,-9.84,,1
2482,-3.61,-9.21,-5.42,,1
2481,-4.03,-13.11,-0.84,,1
2480,-4.38,-10.32,2.82,,1
2479,-4.15,-10.52,4.64,,1
2478,-3.97,-10.63,4.76,,1
2477,-3.72,-10.01,4.77,,1
2476,-3.24,-9.19,4.78,,1
2475,-3.08,-8.97,4.75,,1
2474,-2.7,-8.4,4.82,,1
2473,-2.31,-4.07,5.24,,1
2472,-3.9,-1.75,5.74,,1
2471,-4.78,-4.62,4.92,,1
2470,-4.33,-3.75,1.83,,1
2469,-3.68,-3.81,-2.91,,1
2468,-2.31,-4.36,-8.49,,1
2467,-0.97,-2.11,-13.15,,1
2466,0.15,-1.37,-15.5,,1
